price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,merchant_rating,merchant_rating_count,countries_shipped_to,badges_count,badge_fast_shipping,shipping_option_price,title_orig,merchant_name,if_score,mh_score,if_flag,mh_flag
12.0,14,100,1,3.79,24,4.020408163265306,196,22,0,0,3,NEW Red Bull Summer Mens Casual Shorts Pants Loose Cotton Movement Dry Quickly Fitness Shorts,baijupingshop,-0.21701178464429027,1.329589682275604,False,False
3.69,40,100,0,3.53,59,4.3648438215627,10917,24,0,0,1,Summer New Women Fashion Let It ~ Bee Printed Casual Round Neck Graphic Tee Cute Short Sleeve Cotton T-shirts,wuewi,-0.15544257514493437,4.824068931178507,False,False
5.0,5,10000,1,3.82,3208,4.151395305858436,27055,63,1,0,1,New Fashion Women Ladies Crochet Kimono Tops Hollow Coat,brittany,-0.1592492812629101,4.315195499108083,False,False
5.84,56,100,0,3.28,36,4.017487726839753,40943,43,0,0,1,Women Spring and Summer Fashion Soild Color Vest Off Shoulder Bandage Vest Casual Low Cut Sport Wear Ladies Bodycon Sleeveless Tank Top,happyshoooping,-0.19149503916632277,3.0214503234288763,False,False
13.0,50,1000,0,4.03,855,4.085704903677758,9136,32,0,0,3,Fashion Women Jumpsuits Slit Bohemia Maxi Long Dress Womens Printed Dress Rose Boho Beach Shorts,knights,-0.12956135969260524,7.655350765964674,False,False
11.0,20,100,0,3.43,14,4.174679487179487,3120,34,0,0,2,Women Fashion Summer V Neck Camisole Vest Solid Color Tops Sleeveless T-shirt Loose Casual Plus Size Tank Tops,chentengying,-0.20234976785331765,2.0565607717117076,False,False
5.84,11,1000,0,4.19,307,4.172785968969837,10377,40,0,0,1,Women Fashion Swimwear Two Pieces Split Bikini Set Summer Printed Beach Bathing Swimsuits,gettrendy,-0.21680111809928926,1.098721358407872,False,False
1.0,11,1000,1,3.8,5,3.858118823959985,8197,41,0,0,1,Womens Fashion 3D Skull Print Cut Out Back Tank Top Summer Sleeveless Graphic Shirt Slim Fit Cotton Gothic Tee Tops Plus Size Vest,floraboutique,-0.16645856303671847,4.068521618792131,False,False
11.0,60,1000,1,3.38,37,3.9601706970128014,703,25,0,0,2,Women Loose Casual Printed V Neck Long Dress Plus Size Wave Point Dress Summer Dress,cyb654,-0.1993219486854103,2.878102400706174,False,False
6.0,56,1000,1,3.5,938,3.876699977458863,13309,28,0,0,2,Women Sexy Lace Patchwork V-Neck Backless Summer Beach Mini Dress,nalininternational,-0.12526087848718104,9.630700829648696,False,False
1.0,10,100,0,3.56,52,3.83793694273772,91631,40,0,0,1,New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,maryswill,-0.2077216980600466,2.9527684712774107,False,False
6.0,6,100,0,4.0,8,3.874015748031496,127,23,0,0,2,Summer Women Sling Dress V-neck Floral Pleated Strap Casual Pocket Large Dress,zhuangyuping1,-0.20564509780039836,3.2495665721712363,False,False
11.0,68,1000,0,4.13,211,4.2152280762266106,11597,40,0,0,2,Zanzea S-5XL Summer Women Crew Neck Sleeveless Graffiti Printed Casual Loose Maxi Dress Robes ,zanzeaofficialstore,-0.2388845808351321,1.9284103688704717,False,False
5.0,38,50,1,5.0,2,3.6666666666666665,9,33,0,0,1,Women s New Fashion Solid Color Pants Loose Casual Trousers Wide Leg Pants,zufanqiudinli,-0.09837005264532694,11.512007983511834,False,False
2.72,3,100,1,3.1,20,4.001588178428394,14482,35,0,0,1,Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,happyhorses,-0.18086920230756515,3.7463135278918593,False,False
5.87,11,1000,1,3.91,209,4.391304347826087,6187,29,0,0,1,European and American Classic Fashion Summer Ladies Short-sleeved Cotton Dress,happyfeng,-0.2159404475580219,0.9033657968065977,False,False
8.0,10,100,0,2.71,7,3.892857142857143,224,20,0,0,3,Women Summer Three-color Stitching Short Sleeve Long Dress Ladies Casual V Collar Cotton Plus Size Long Dresses XS-5XL,lianlie,-0.16094315646018498,6.100910299790353,False,False
14.0,67,1000,0,3.81,187,4.150756302521009,11900,40,0,0,4,Plus Size 4XL 5XL Chinese Clothing Shirts for Men Cotton Linen Shirt Tops Summer ,saya2016,-0.234715605016172,1.4389142022001427,False,False
2.0,9,100,0,3.47,32,4.167627677100494,4856,40,0,0,1,New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,zaitaowanggou,-0.21291658409552994,2.0595579841015463,False,False
5.79,30,1000,1,3.41,212,4.189843898724538,21012,118,0,0,2,Summer Beach Fashion Plus Size Women's Loose Short Sleeve Long Blouses Plus Size Deep V-neck Party Dress Ladies Casual Solid Color Beach Wear Swimsuit Cover-up Short Linen Dress,taomigogo,-0.20511689048076126,2.4083143349355907,False,False
8.0,22,100,1,3.74,47,3.876761607336984,50593,41,0,0,3,Trend Summer New Design Letter Printed Women T-shirts Deep V-neck Sleeveless Shirts Casual Tank Tops,aidos,-0.21387086792225646,1.4145080742676321,False,False
4.94,5,10000,1,3.93,1331,4.1214837434884135,55670,49,0,0,1,Summer Women Round Neck Dress Casual Sleeveless Dress Floral Printed Dress Slim Flower Dress,smarthomeinternationalcoltd,-0.18871853196226568,3.8017932562602943,False,False
8.0,33,10,0,5.0,0,4.169786096256685,1496,25,0,0,2,Fashion Women Sleeveless Lace Vest Loose V Neck Solid Silk  Lady Casual Sexy Black Tank Tops,wslcwm,-0.12901509605856998,8.951042261500728,False,False
9.0,33,50,1,4.5,4,4.120281052756937,8397,41,0,0,3,New trend round neck heart-shaped t-shirt casual loose tops women cute funny t-shirt plus size,seraih,-0.19479768739172176,3.344728234911819,False,False
8.0,92,100,0,3.56,16,3.968061051441493,7076,55,0,0,2,Good Vibes Shirt Summer Shirt Rainbow Shirt Rainbow Pattern Shirt Letter Print Shirt Round Neck Short Sleeve Shirt Splicing Shirt Solid Colour Cotton Shirt Slim Fit Top Plus Size S-5XL,wangjiangxu,-0.2236742350885501,2.625999306645376,False,False
6.0,20,100,0,3.08,13,3.931195965417868,2776,43,0,0,2,Sexy Women Solid Color Strappy Mini Dress Summer Fashion Sleeveless Short Dress Plus Size,qslangweigarmentfactory,-0.1935541631815345,3.2621437726991047,False,False
5.78,8,20000,1,4.0,3975,4.184134248665141,6555,29,0,0,1,Women's 2019 Fashion Bandage SwimSuits Colorblock Bikini Sets Beachwear,vemaneya,-0.15600546547751787,3.397833316499032,False,False
12.0,17,5000,0,3.94,387,3.978260869565217,1288,43,0,0,3,Women Fashion Leopard Lips Crewneck Tee Short Sleeve Casual T-shirt,xiaoameiyou,-0.19061468643107599,1.505692767465043,False,False
8.0,51,100,0,4.29,31,3.832535066712282,5846,43,1,0,2,Summer Women Fashion Short Dress Sleeveless Waist Dress Camouflage Dress Bodycon Slim Fit Dress Plus Size S-5XL,supersupermarket,-0.19314309804588653,2.821069743851989,False,False
5.77,48,100000,0,4.1,20744,4.06734764909732,330405,46,0,0,2,Women Stretchy Camisole Spaghetti Strap Long Tank Top Slip Mini Dress 4Color SIZE XXL is available Now ,shanghailalanginternationaltradecoltd,0.058906102504369895,153.19039975342994,True,True
1.72,2,100,1,3.77,30,3.884543645859239,32168,48,0,0,1,Summer Women's Fashion Short Sleeve T Shirt Ladies Female V-neck Hollow Out Casual Loose Blouse Plus Size Tops,广州唯适唯服饰有限公司,-0.21410829544978127,1.4512593091268804,False,False
1.86,9,100,1,3.57,42,3.9430187637969096,7248,40,0,0,1,Women s New Fashion Solid Color Pants Loose Casual Trousers Wide Leg Pants,schmuckdesignonline,-0.22347593166372864,1.7029047537465225,False,False
14.0,92,100,1,4.54,13,4.185185185185185,54,36,0,0,3,New Summer Fashion Women Striped Stitching Stranger Things Print Tracksuit Stranger Things Clothes 2 Piece Set Woman Sports Suits Shorts Crop Tops   Shorts Pants Outfit,guifenunderwear,-0.21381848328678466,2.843110248650998,False,False
3.69,4,1000,0,3.64,212,4.039127645926876,1559,24,0,0,1,Plus Size Women's Fashion Loose Casual V neck Wave point Floral print splice Summer Vest camisole,nmgyusj,-0.2146210180932286,1.6731216772368842,False,False
5.79,42,1000,0,3.32,121,3.9474719653747785,5083,43,0,0,2,Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,molesfashion,-0.2108881729708002,2.526777937910444,False,False
11.0,30,100,1,4.11,28,4.210460119484331,9541,45,2,1,3,Men Cotton Overalls Camouflage Loose Shorts Elasticity Waist Pants,dongguanginternationnal,-0.232364366226346,0.5021818806302311,False,False
6.0,8,10000,0,3.96,1338,3.80168428005284,54504,43,0,0,2,2018 6 Color Summer Women’s New Fashion Sexy Cute Whiskey Print Lace Patchwork Spaghetti Strap T-Shirts Slim Bodycon Off The Shoulder Short Sleeve Blouse Casual Cotton Outdoor Tops Plus Size S-XXXXL,youngsboutique,-0.16290272634423936,2.6141927056759204,False,False
8.0,65,100,0,3.97,29,3.882845188284519,239,33,0,0,2,Pnma Men Summer Quick Dry Shorts Mens Swim Beach Shorts Swim Shorts Beach Wear Sports Gym,dsviefashion,-0.2259195881238697,1.8907624105631518,False,False
6.0,6,1000,1,3.82,134,3.844776119402985,670,35,0,0,2,2020 Fashion Brand Printed Short Pants Casual Jogging Slim Fit Trousers Mens Sports,lianglinglingdian,-0.22002166089456093,2.3219053548920074,False,False
5.8100000000000005,30,100,0,2.61,18,3.8947606995807047,26473,41,0,0,2,2020 Women Fashion V-neck Solid Color Slim Fit Casual Cotton Two Pieces Sports Wear,denasfashion,-0.1618904262734105,6.2866589513310895,False,False
5.0,51,10,0,5.0,0,3.989830508474576,295,36,0,0,1,Womens Summer Fashion Lip Print 2pc Set Ladies Casual Round Neck Short Sleeve T Shirt and Shorts,hxt520,-0.10950639759878078,11.206880463676091,False,False
5.0,5,100,1,4.3,10,4.167978516529308,10799,22,0,0,2,Fashion Women Denim Shorts Stitching Lace Summer Jeans Shorts 3 Colors,sunshineinyoueyes,-0.21214772285244,2.9186566630209105,False,False
12.0,67,10,0,3.67,3,4.008403361344538,238,32,0,0,3,Women Short T-shirt   Shorts Suit Summer Sport Wear Casual Cotton Yoga Lady Crop Top and Shorts,eirufjl,-0.1913651211533084,3.391061018923596,False,False
7.0,43,100,0,3.71,21,3.878166997135933,9078,40,0,0,2,Women's Fashion Summer Tank Top Casual Printed V-neck Sleeveless Camisole Vest,tingshen,-0.23523358754928686,1.6163032962398183,False,False
12.0,85,50,1,4.75,4,4.175438596491228,57,35,0,0,3,2020 Men Summer Fashion Brand Summer Suits Casual Athletic Set Short Sleeve Tracksuits 2Pc: Shorts T-shirts S-4XL,mawenru646,-0.17546338540585998,4.850575452911583,False,False
7.0,33,50,0,3.0,2,4.001546269130125,25222,41,0,0,2,Summer fashion female butterfly tank vest sleeveless round neck casual top,owiner,-0.15666969245642232,6.3696627858121415,False,False
11.0,59,1000,0,4.11,135,4.057185405807893,6715,41,0,0,2,S-5XL Summer New Fashion Women Silver Letter Print Dress Short Sleeve Skirt Fashion Casual T Shirt Dress Plus Size,bighero,-0.2272769041283793,2.0085580013490922,False,False
12.0,43,100,0,3.59,27,3.948409020698177,3237,42,0,0,3,2020 Summer Women's Fashion Elastic Waist 3/4 Jogging Capri Hose Strass Dance Paisley Drawstring Casual Sport Fitness Pants,raverks,-0.23571687449446072,1.0338802027830405,False,False
13.0,51,5000,0,3.61,127,3.9464161447459984,17244,43,0,0,3,Women Summer Fashion Tie-dye Printed Casual Printed Shorts Two-piece Set Sports Set,praden,-0.16762836056340752,1.869003812516513,False,False
2.72,9,1,0,5.0,0,3.5978835978835977,378,33,0,0,1,Women's Casual Sleeveless Stripe T Shirts Dress Big Swing Maxi Dress Summer Beach Long Dress Plus Size XS-5XL,kyiswen,-0.06035296873925289,13.691181902537206,False,False
6.0,6,20000,1,3.99,1600,4.108849060138637,16013,33,0,0,2,NEW Women Casual Tank Top Blouses O-neck Sleeveless Gradient Color Cotton Printing T-shirt Summer Vest Blouses Loose Plus Size S-5XL,wowbang,-0.15282824851130616,4.248674540026493,False,False
9.0,56,100,1,4.03,30,3.7142857142857135,49,19,0,0,3,Spring and Summer New Tik Tok Ing Endless Loose Large Size Short Sleeve Crop Top and Shorts Set,ashleyjohnson,-0.21378399271324955,2.288473523176817,False,False
5.0,5,50,0,5.0,1,3.75,4,47,0,0,2,Ladies Summer Tie Dye Print Short Sleeve Off Shoulder Casual Plus Size Dress,chaoyang_yangjianfa,-0.09464129630047347,11.599848323007317,False,False
2.0,2,10000,1,3.99,980,4.045170200666179,12309,23,0,0,1,Women's Summer Sleeveless U-neck Floral Print Fashion Tank Tops Casual Plus Size Tops(S-5XL),greatexpectationstechnology,-0.1884823040299367,3.888541248272914,False,False
5.66,6,100,0,3.08,13,4.06901509705248,2782,35,0,0,2,Fabric Waist Trainer Vest Hot Shaper Summer Shaperwear Slimming Adjustable Sweat Belt Body Shaper,sklioppp,-0.17688590131716098,4.794859553098721,False,False
13.0,17,5000,0,4.11,792,3.910741632028002,4571,43,0,0,3,New Women's Fashion Letter Print Tie Dye Halter Sleeveless Long Dress Summer Cotton Bohemian Maxi Boho Dress,eeeeffff889966,-0.18565052255971276,2.600235914839745,False,False
16.0,76,100,1,3.53,38,4.272058823529412,1088,58,0,0,5,Spring/Summer/Autumn New Fashion Indo-Shape Head Loose Large Size Solid Color Men's Men's Velvet Wirtschafts,aa321707,-0.19917968213678106,2.3460680382770915,False,False
7.0,50,1000,0,3.49,49,4.011627906976744,1290,132,0,0,2,NEW Women Casual Loose Solid Color Dress Short Sleeve V-neck Dress Plus Size,kaiqiangmaoyi,-0.1958795976473287,2.8039469102692105,False,False
2.0,56,100,1,3.07,28,3.696054114994363,4435,26,0,0,1,10 Color Women Summer Shorts Lace Up Elastic Waistband Loose Panties Plus Size S-6XL,sellbestqualitygoods,-0.1792776112914256,3.2707640349120597,False,False
6.0,16,100,1,3.11,27,3.8740329083578513,9177,18,0,0,2,Women Summer Shorts Lace Up Elastic Waistband Loose Panties Plus Size,listone,-0.1987999441639548,1.9879988474109367,False,False
8.0,84,20000,0,3.96,8960,4.204916348090599,48654,125,0,0,3,NewWomen's Push-Up Triangle Bikini Swimsuit Set,shaoling01yang,-0.08047228852549937,6.620249798263939,False,False
8.0,25,5000,0,4.0,32,4.12394301820675,13127,43,0,0,3,Women Ladies Fashion Openwork Panel Tie Dye Tank Top,longfashionstores,-0.15192692662530133,1.737854026477797,False,False
11.0,22,1000,1,3.97,359,4.330745341614906,4508,30,0,0,2,Women Summer Off Shoulder Tops Lace Stitching Shirts Casual Shorts Sleeves Loose Blouse,chaojishanghu,-0.21717589795893394,1.0092364602042472,False,False
3.66,4,5000,0,3.19,1080,3.8675471698113206,10600,45,0,0,1,S-5XL Sleeveless Blouse Beachwear Plus Size Pleated Loose Sling Tank Tops  Women Casual Summer Loose Off Shoulder Deep V-Neck Backless Vest ,sangboostore,-0.16337830294939998,2.3202507731858226,False,False
1.68,2,100,1,3.67,12,3.956064947468959,1047,40,0,0,1,New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,citizenrepublk,-0.21114193925352676,1.7725225771795567,False,False
11.0,16,100,1,2.92,12,3.6666666666666665,18,16,0,0,2,Women Summer Casual Loose Solid Color Vintage Overalls Strap Long Pants Jumpsuits Rompers Plus Size,josephineo,-0.20006852116616214,2.707435519530587,False,False
7.0,9,1000,0,3.75,219,4.152726560715335,30643,44,0,0,2,Summer Fashion Women Round Neck Sleeveless Pure Color Casual Pocket Dress,xmbmobileexperiencestore,-0.217518433986424,1.0080768748519935,False,False
4.8100000000000005,76,10000,0,4.16,3135,3.928879661292949,24564,39,0,0,1,4 Color Women Fashion Summer Sleeveless Letters Print Tops Casual Workout Tank Tops Casual Cotton Shirt Vest Loose Blouse (S-5XL),taishon,-0.1173648400763615,5.107111612513865,False,False
18.0,115,100,0,3.68,177,4.156666666666666,300,51,0,0,5,Summer Elegant Temperament Printing Women Dresses New Fashion Sexy V-neck Short Sleeve Silk Office Lady Dress A-line,xvsivo7412,-0.034808282345476504,45.85940119870918,False,True
5.0,8,1000,1,3.06,31,3.995167373880245,8484,40,0,0,1,Sexy Women's Summer Casual Sleeveless Evening Party Backless Beachwear Mini Dress 12 colors ,hillntrees,-0.16463243229565527,3.359886425277911,False,False
1.68,2,1000,1,3.76,51,3.9424657534246577,365,30,0,0,1,Women Summer Fashion Lace Up Short Pants Casual High Waist Pure Color Crepe Woven Tie Beach Shorts Pocket Cotton Short Pants,wowomart,-0.21187101461169155,1.5253417438304595,False,False
6.0,7,50,0,2.67,3,4.058951965065503,1374,8,0,0,2,Women's Summer Sleeveless Tank Cotton Vest Printed Tank Tops,tiefanye,-0.13227698436847318,8.605805208205398,False,False
13.0,19,1000,1,3.76,151,3.9415204678362574,171,12,0,0,3,Summer Fashion Men'S Sport Athletic Shorts Pants Men Casual Print,horesenbestwellcomenbin,-0.22319563129541398,0.6889292984326925,False,False
11.0,89,100,0,3.46,24,4.38569196276921,73595,52,0,0,2,Casual Summer Women's Romper Short Lace Playsuit V-Neck Slim Ladies Jumpsuit,ocean5for8zh,-0.18979109224722057,3.656776174042325,False,False
6.0,17,100,0,4.14,93,4.166931637519872,629,74,0,0,2,Women Summer 2Piece Set Crop Top and Shorts Bodycon Outfit Short Yoga Sport suit,trustlie,-0.1436525305852342,9.270503699907353,False,False
6.0,17,5000,0,3.28,449,4.216278181123424,7851,49,0,0,2,Summer casual Women T-shirts Ulzzang Streetwear kawaii cartoon print Tshirt Korean Style Tops Harajuku short sleeve t shirt,wufangzhong,-0.14442384083723675,2.9861722384073492,False,False
11.0,84,1000,0,3.98,792,4.141021671826626,6460,137,0,0,2,Women Bikini Blockbuster Underwear Padded Swimwear Swimsuit Bathing Swimwear Suit Bikini Summer Plus Swimming Suit Patchwork Beachwear Plus Size XS-8XL,zhengruirong,-0.1535737457296968,6.650594440113515,False,False
6.0,22,5000,0,4.04,548,3.968061051441493,7076,55,0,0,2,2019 The New Women Fashion Bone Hand Pattern Print Spaghetti Strap Cotton Tank Tops Summer Women Casual Bodycon Slim Fit Sleeveless Beach Style Vest,wangjiangxu,-0.20952275419166677,2.357083077455898,False,False
8.0,26,100,0,3.07,14,3.186046511627907,43,40,0,0,2,Fabric Waist Trainer Vest Hot Shaper Summer Shaperwear Slimming Adjustable Sweat Belt Body Shaper,lumeizi,-0.22196072151044044,1.6726816960468232,False,False
3.78,4,1000,1,3.35,79,3.789601485502071,105015,38,0,0,1,Summer Women s  Fashion  Lace Up Tie Pants  Plus Size Casual High Waist Short Pants,maxnina,-0.2044365900468446,2.177580562910312,False,False
6.0,145,100,1,3.83,52,4.159492697924673,2602,49,0,0,2,New Summer Women Bikini Set Colorblock High Waist Swimming Bottom Casual Female Beachwear Bathing Suit Swimsuit Underwear,jiutunhecimu,-0.1811581926237264,3.1932017596034363,False,False
8.0,17,1000,0,3.96,288,3.901345291479821,892,32,0,0,3,Mens Summer Color Block Printed Chest Pocket Turn Down Collar Button Down Short Sleeve Loose Casual Shirts Beach Holiday,anglesusan,-0.21819758946455708,0.854248691509935,False,False
9.0,36,20000,0,4.09,4345,4.168345936302633,49327,42,0,0,3,2018 Summer New Women Long Skirts Solid Sexy Split Pencil Skirts,shoppingsharing,-0.1312500467975244,5.252871327530461,False,False
3.0,3,100,0,3.4,15,3.8917910447761193,268,36,0,0,1,New Summer Women's Fashion Sleeveless Sexy Deep V-neck Tank Top Package Hip Zipper Tunic Top Vest Casual Women Slim Fit Cotton Tees Shirt Plus Size S-5XL,yqlili666,-0.2054527113437693,3.001917428628574,False,False
8.0,10,50,0,3.8,5,3.7906976744186047,129,23,0,0,2,Summer Short Sleeve Dress Women Casual Loose Dress Plus Size V-neck Floral Dress,yangshaokuei6688,-0.20549141512489072,2.3611480573760564,False,False
5.74,59,1000,0,3.99,71,4.181588105030054,3161,43,0,0,1,THAT'S A HORRIBLE IDEA WHAT TIME Art Letter Print T-shirt Summer Fashion Women Vest Sleeveless Round Neck Casual T-shirt Loose Cotton Tank Top Basic Tee Shirt Sport Yoga Top Plus Size XS-5XL,zoushoujintmiao,-0.21053197704792248,2.58256814878724,False,False
5.0,5,10,0,5.0,0,3.8372093023255816,129,8,0,0,2,Women's Active Skort Athletic Stretchy Pleated Tennis Skirt for Running Golf Workout,renpingping,-0.08239184820033285,12.395602007853398,False,False
3.67,4,10000,1,4.31,2072,4.395746933733345,11333,138,0,0,1,2019 Summer Beach Shoes Couple Ventilative Sandals Casual Shoes Slippers,kkksport,-0.16064285785435334,4.9352271927028255,False,False
